Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,RemodAge,TotalBathrooms,TotalPoarchSF,PricePerSqFt
217,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,2,4,PConc,2,4,Mn,GLQ,946,Unf,0,490,1436,GasA,0,Y,SBrkr,1436,0,0,1436,1,0,2,0,3,1,2,8,Typ,0,3,Attchd,2004.0,Unf,2,484,5,5,Y,139,98,0,0,0,0,None,None,None,0,4,2008,WD,Normal,12.25486757159303,4,4,3.0,98,146.23955431754874
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,686,686,GasA,1,N,SBrkr,810,518,0,1328,0,0,1,0,3,1,3,8,Typ,0,3,Detchd,1940.0,Unf,1,210,5,5,Y,0,172,60,0,0,0,None,None,None,0,9,2006,WD,Family,11.580593459194764,81,56,1.0,232,80.57228915662651
219,50,RL,74.0,15660,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,2,2,CBlock,4,4,No,BLQ,341,Unf,0,457,798,GasA,0,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,2,8,Typ,2,5,Attchd,1939.0,Unf,2,431,5,5,Y,0,119,150,0,0,0,None,None,None,0,5,2008,WD,Normal,12.649157827477366,69,2,2.0,269,159.41658137154556
220,120,RL,43.0,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,2,4,PConc,2,4,Av,GLQ,16,Unf,0,1232,1248,GasA,0,Y,SBrkr,1248,0,0,1248,0,0,2,0,2,1,2,5,Typ,0,3,Attchd,2005.0,Fin,2,438,5,5,Y,108,0,0,0,0,0,None,None,None,0,3,2006,New,Partial,12.027191164883384,1,0,2.0,0,134.00641025641025
221,20,RL,73.0,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,Mn,Unf,0,Unf,0,1498,1498,GasA,0,Y,SBrkr,1498,0,0,1498,0,0,2,0,2,1,2,5,Typ,0,3,Attchd,2006.0,RFn,2,675,5,5,Y,351,33,0,0,0,0,None,None,None,0,4,2006,New,Partial,12.230282214644559,0,0,2.0,33,136.78237650200268
222,60,RL,65.0,8068,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,No,Unf,0,Unf,0,1010,1010,GasA,0,Y,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,2,8,Typ,1,5,BuiltIn,2002.0,RFn,2,390,5,5,Y,120,46,0,0,0,0,None,None,None,0,12,2009,ConLI,Normal,12.206077645517674,7,7,2.5,46,88.2223202470225
223,60,RL,85.0,11475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,2,4,No,ALQ,550,Unf,0,163,713,GasA,4,Y,SBrkr,811,741,0,1552,1,0,2,1,3,1,3,6,Typ,1,5,Attchd,1975.0,RFn,2,434,5,5,Y,209,208,0,0,0,0,None,MnPrv,None,0,2,2006,WD,Normal,12.100161978566867,31,31,3.5,208,115.91494845360825
224,20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,No,ALQ,524,LwQ,180,160,864,GasA,2,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1989.0,Unf,2,576,5,5,Y,216,0,0,0,0,0,None,None,None,0,3,2009,WD,Abnorml,11.48247656671073,38,38,1.0,0,112.26851851851852
225,20,RL,103.0,13472,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,0,4,PConc,0,4,Gd,GLQ,56,Unf,0,2336,2392,GasA,0,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,0,8,Typ,1,0,Attchd,2003.0,Fin,3,968,5,5,Y,248,105,0,0,0,0,None,None,None,0,6,2009,WD,Normal,12.864242696187505,6,6,2.0,105,161.4757525083612
226,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,630,630,GasA,4,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,6,Typ,0,3,Detchd,1991.0,Unf,1,280,5,5,Y,0,0,0,0,0,0,None,None,None,0,5,2009,COD,Abnorml,11.626263078808801,38,38,2.5,0,86.02150537634408
227,60,RL,82.0,9950,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,2,4,PConc,2,4,No,GLQ,565,Unf,0,638,1203,GasA,0,Y,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,2,9,Typ,1,5,Attchd,1995.0,RFn,3,721,5,5,Y,224,114,0,0,0,0,None,None,None,0,6,2007,WD,Abnorml,12.577639650232573,12,12,2.5,114,115.07936507936508
228,160,RM,21.0,1869,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,4,CBlock,4,4,No,Rec,321,Unf,0,162,483,GasA,4,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,0,3,Detchd,1987.0,Unf,1,280,5,5,Y,0,0,0,0,0,0,None,None,None,0,9,2008,WD,Normal,11.571203807011969,38,38,1.5,0,107.39614994934144
229,20,RL,70.0,8521,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,No,ALQ,842,Unf,0,70,912,GasA,4,Y,SBrkr,912,0,0,912,0,0,1,0,3,1,3,5,Typ,1,1,Detchd,1974.0,Unf,1,336,5,5,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,11.736077016252437,43,43,1.0,0,137.06140350877192
230,120,RL,43.0,3182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,2,4,PConc,2,4,Av,GLQ,16,Unf,0,1357,1373,GasA,0,Y,SBrkr,1555,0,0,1555,0,0,2,0,2,1,2,7,Typ,1,5,Attchd,2005.0,Fin,2,430,5,5,Y,143,20,0,0,0,0,None,None,None,0,5,2009,WD,Normal,12.167856627501678,4,3,2.0,20,123.79421221864952
231,20,RL,73.0,8760,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,1194,1194,GasA,4,Y,SBrkr,1194,0,0,1194,1,0,1,0,3,1,3,6,Typ,0,3,Attchd,1959.0,RFn,1,312,5,5,Y,0,0,120,0,0,0,None,None,None,0,4,2010,WD,Normal,11.904974309480183,51,51,2.0,120,123.95309882747068
232,60,RL,174.0,15138,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,2,4,PConc,2,4,No,GLQ,689,Unf,0,773,1462,GasA,0,Y,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,0,9,Typ,1,5,Attchd,1995.0,Fin,3,810,5,5,Y,0,146,202,0,0,0,None,None,None,0,7,2009,WD,Normal,12.90669432231532,14,13,3.5,348,144.23765211166787
233,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,483,483,GasA,4,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,1,4,Attchd,1972.0,Unf,1,288,5,5,Y,0,0,0,0,0,0,None,None,None,0,6,2006,WD,Normal,11.456365695436427,34,34,1.5,0,95.74468085106383
234,20,RL,75.0,10650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,1,Av,LwQ,182,ALQ,712,0,894,GasA,4,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,Typ,0,3,Attchd,1976.0,Unf,1,308,5,5,Y,365,0,0,0,0,0,None,MnPrv,None,0,2,2010,WD,Normal,11.761354623750297,34,34,2.0,0,143.40044742729307
235,60,RL,65.0,7851,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,No,GLQ,625,Unf,0,235,860,GasA,0,Y,SBrkr,860,1100,0,1960,1,0,2,1,4,1,2,8,Typ,2,5,BuiltIn,2002.0,Fin,2,440,5,5,Y,288,48,0,0,0,0,None,None,None,0,5,2010,WD,Normal,12.285350445351659,8,8,3.5,48,110.45918367346938
236,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,3,4,CBlock,4,4,No,ALQ,358,Unf,0,125,483,GasA,4,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,0,3,Detchd,1971.0,Unf,1,264,5,5,Y,0,0,0,0,0,0,None,None,None,0,8,2008,WD,Normal,11.402005077384885,37,37,1.5,0,90.67882472137791
237,20,RL,65.0,8773,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,2,4,PConc,2,4,Av,GLQ,24,Unf,0,1390,1414,GasA,0,Y,SBrkr,1414,0,0,1414,0,0,2,0,3,1,2,6,Typ,0,3,Attchd,2004.0,RFn,2,494,5,5,Y,132,105,0,0,0,0,None,None,None,0,5,2010,WD,Normal,12.130815551850676,6,6,2.0,105,131.1881188118812
238,60,RL,66.5,9453,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,2003,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,4,PConc,2,4,No,BLQ,402,Unf,0,594,996,GasA,0,Y,SBrkr,1014,730,0,1744,0,0,2,1,3,1,2,7,Typ,0,3,Attchd,1993.0,RFn,2,457,5,5,Y,370,70,0,238,0,0,None,None,None,0,2,2010,WD,Normal,12.178192583415596,17,7,2.5,308,111.52522935779817
239,20,RL,93.0,12030,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,0,4,PConc,0,4,No,Unf,0,Unf,0,1694,1694,GasA,0,Y,SBrkr,1694,0,0,1694,0,0,2,0,3,1,2,7,Typ,0,3,Attchd,2007.0,Fin,3,818,5,5,Y,168,228,0,0,0,0,None,None,None,0,12,2007,New,Partial,12.669809806411457,0,0,2.0,228,187.72136953955135
240,50,RL,52.0,8741,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,0,No,LwQ,94,Unf,0,641,735,GasA,4,Y,FuseA,798,689,0,1487,0,0,1,1,3,1,3,7,Typ,1,2,Detchd,1949.0,Unf,1,220,5,5,Y,0,140,0,0,0,0,None,MnPrv,None,0,4,2010,WD,Normal,11.635151947212842,65,60,1.5,140,75.99193006052455
241,20,FV,75.0,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,2,4,PConc,2,4,Av,GLQ,1078,Unf,0,488,1566,GasA,0,Y,SBrkr,1566,0,0,1566,1,0,2,0,3,1,2,7,Typ,0,3,Attchd,2008.0,RFn,2,750,5,5,Y,144,168,0,0,0,0,None,None,None,0,4,2010,WD,Normal,12.47801017053037,2,2,3.0,168,167.62452107279694
242,30,RM,40.0,3880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,No,ALQ,329,Unf,0,357,686,GasA,2,Y,SBrkr,866,0,0,866,0,0,1,0,2,1,2,4,Typ,0,3,None,0.0,None,0,0,3,3,Y,58,42,0,0,0,0,None,None,None,0,8,2007,WD,Normal,11.612779849672751,62,10,1.0,42,127.59815242494226
243,50,RM,63.0,5000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,540,540,GasA,2,N,FuseA,889,551,0,1440,0,0,1,0,3,1,3,6,Typ,0,3,Attchd,1940.0,Unf,1,352,1,5,Y,0,0,77,0,0,0,None,None,None,0,4,2006,WD,Normal,11.277215789596893,106,56,1.0,77,54.861111111111114
244,160,RL,75.0,10762,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,2,4,No,Unf,0,Unf,0,626,626,GasA,4,Y,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,6,Typ,1,5,Attchd,1980.0,RFn,1,288,5,5,Y,0,28,0,0,0,0,None,None,None,0,4,2009,WD,Normal,11.695255355062795,29,29,1.5,28,98.60312243221036
245,60,RL,66.5,8880,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,No,GLQ,695,Unf,0,253,948,GasA,0,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,2,8,Typ,2,1,Attchd,1994.0,RFn,2,463,5,5,Y,0,130,0,0,0,0,None,None,None,0,5,2010,WD,Normal,12.230770136157428,16,8,3.5,130,97.1563981042654
246,20,RL,80.0,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,3,4,CBlock,2,4,Av,GLQ,929,Unf,0,916,1845,GasA,2,Y,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,6,Typ,1,5,Attchd,1988.0,Fin,2,604,5,5,Y,197,39,0,0,0,0,None,None,None,0,6,2006,WD,Normal,12.394628892852941,18,18,2.5,39,129.00641025641025
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,1,Stone,1,4,No,Unf,0,Unf,0,1020,1020,GasA,2,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,1,9,Typ,0,3,Detchd,1910.0,Unf,1,440,4,4,Y,0,60,112,0,0,0,None,None,None,0,4,2006,WD,Normal,11.827743504053695,96,56,2.0,172,71.05809128630706
248,20,RL,75.0,11310,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,4,CBlock,4,4,No,Unf,0,Unf,0,1367,1367,GasA,0,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,Typ,1,5,Attchd,1954.0,Unf,2,451,5,5,Y,0,30,0,0,0,0,None,None,None,0,6,2006,WD,Normal,11.849404844423074,52,52,1.0,30,101.81818181818181
249,60,RL,72.0,11317,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,2,4,PConc,2,4,No,Unf,0,Unf,0,840,840,GasA,0,Y,SBrkr,840,828,0,1668,0,0,2,1,3,1,2,8,Typ,0,3,Attchd,2003.0,RFn,2,500,5,5,Y,144,68,0,0,0,0,None,None,None,0,9,2007,WD,Normal,12.100717685412471,4,4,2.5,68,107.9136690647482
250,50,RL,80.0,159000,Pave,None,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,2,4,CBlock,2,4,Gd,Rec,697,Unf,0,747,1444,GasA,2,Y,SBrkr,1444,700,0,2144,0,1,2,0,4,1,2,7,Typ,2,5,Attchd,1958.0,Fin,2,389,5,5,Y,0,98,0,0,0,0,None,None,Shed,500,6,2007,WD,Normal,12.531776395271262,49,1,2.5,98,129.19776119402985
251,30,RL,55.0,5350,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,CBlock,4,4,No,Unf,0,Unf,0,728,728,GasA,0,Y,SBrkr,1306,0,0,1306,0,0,1,0,3,1,1,6,Mod,0,3,None,0.0,None,0,0,3,3,Y,263,0,0,0,0,0,None,GdWo,Shed,450,5,2010,WD,Normal,11.245059091624615,70,44,1.0,0,58.575803981623274
252,120,RM,44.0,4750,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,2,4,PConc,2,4,Gd,GLQ,1573,Unf,0,0,1573,GasA,0,Y,SBrkr,1625,0,0,1625,1,1,2,0,2,1,2,5,Typ,1,2,Attchd,2006.0,Fin,2,538,5,5,Y,123,0,0,0,153,0,None,None,None,0,12,2007,WD,Family,12.367345048436391,1,0,3.5,153,144.6153846153846
253,60,RL,65.0,8366,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,No,Unf,0,Unf,0,798,798,GasA,0,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,2,6,Typ,0,3,Attchd,2004.0,RFn,2,520,5,5,Y,138,45,0,0,0,0,None,None,None,0,12,2008,WD,Normal,12.06105265381003,4,4,2.5,45,105.48780487804878
254,80,RL,85.0,9350,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,3,4,CBlock,2,4,Gd,LwQ,270,ALQ,580,452,1302,GasA,0,Y,SBrkr,1302,0,0,1302,0,1,2,0,3,1,2,7,Min1,0,3,Attchd,1964.0,RFn,1,309,5,5,Y,333,0,0,0,0,0,None,MnPrv,None,0,10,2007,CWD,Normal,11.970356641102999,43,16,2.5,0,121.35176651305683
255,20,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,4,4,No,Rec,922,Unf,0,392,1314,GasA,4,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,3,5,Typ,0,3,Attchd,1957.0,RFn,1,294,5,5,Y,250,0,0,0,0,0,None,None,None,0,6,2010,WD,Normal,11.884495917930655,53,53,2.0,0,110.35007610350075
256,60,RL,66.0,8738,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,2,4,PConc,2,4,No,Unf,0,Unf,0,975,975,GasA,0,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,2,8,Typ,1,5,BuiltIn,1999.0,Fin,2,429,5,5,Y,192,0,0,0,0,0,None,None,None,0,2,2006,WD,Normal,12.345838935721968,7,7,2.5,0,100.39284155390659
257,60,FV,64.0,8791,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,No,Rec,503,Unf,0,361,864,GasA,0,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,2,7,Typ,0,3,Attchd,2003.0,RFn,2,673,5,5,Y,216,56,0,0,0,0,None,None,None,0,5,2008,WD,Normal,12.242891437918386,5,5,2.5,56,120.08101851851852
258,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,2,4,PConc,2,4,No,GLQ,1334,Unf,0,270,1604,GasA,0,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,2,8,Typ,1,2,Attchd,2006.0,RFn,2,660,5,5,Y,123,110,0,0,0,0,None,None,None,0,3,2009,WD,Abnorml,12.301387370778713,3,3,3.5,110,137.1571072319202
259,60,RL,80.0,12435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,2,4,PConc,2,4,No,GLQ,361,Unf,0,602,963,GasA,0,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,2,7,Typ,1,5,Attchd,2001.0,RFn,2,564,5,5,Y,0,96,0,245,0,0,None,None,None,0,5,2008,WD,Normal,12.352339472153524,7,7,2.5,341,129.18526785714286
260,20,RM,70.0,12702,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,4,PConc,3,2,None,None,0,None,0,0,0,GasA,2,Y,FuseA,882,0,0,882,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1956.0,Unf,1,308,5,5,Y,0,45,0,0,0,0,None,None,None,0,12,2008,WD,Normal,11.48247656671073,52,52,1.0,45,109.97732426303855
261,80,RL,120.0,19296,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,4,CBlock,4,4,Gd,Rec,672,ALQ,690,0,1362,GasA,4,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1991.0,Unf,2,884,5,5,Y,0,0,252,0,0,0,None,GdWo,None,0,5,2009,WD,Normal,12.07824495582233,47,47,2.0,252,127.35166425470332
262,60,RL,69.0,9588,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,2,4,PConc,0,4,No,Unf,0,Unf,0,1482,1482,GasA,0,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,0,10,Typ,1,2,BuiltIn,2007.0,Fin,3,868,5,5,Y,0,148,0,0,0,0,None,None,None,0,11,2007,New,Partial,12.52815976788113,0,0,2.5,148,107.22610722610723
263,80,RL,88.0,8471,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,4,CBlock,2,1,Av,ALQ,506,Unf,0,0,506,GasA,4,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,3,6,Typ,1,5,Attchd,1978.0,Unf,2,492,5,5,Y,292,12,0,0,0,0,None,GdWo,None,0,7,2006,WD,Normal,11.92504173829169,29,11,2.0,12,124.58745874587459
264,50,RM,50.0,5500,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,No,LwQ,234,ALQ,692,0,926,GasA,4,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,3,6,Typ,0,3,Detchd,1974.0,Unf,2,484,5,5,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD,Normal,11.775297421715827,81,9,2.0,0,98.78419452887537
265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,1,4,No,Unf,0,Unf,0,680,680,GasA,2,N,FuseP,764,0,0,764,0,0,1,0,2,1,3,4,Typ,0,3,Detchd,1965.0,Unf,2,504,5,5,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,Normal,11.19822841866684,83,4,1.0,0,95.54973821989529
